pregunta,opcion_a,opcion_b,opcion_c,opcion_d,correcta,dificultad,explicacion
¿Cuál de los siguientes es un ser vivo?,Una roca,Un árbol,Un coche,Un río,b,baja, "Un árbol cumple con las características de los seres vivos: nace, crece, se reproduce y muere. Las rocas, coches y ríos no realizan funciones vitales."
¿Cuál es la unidad básica de los seres vivos?,El tejido,El órgano,La célula,El organismo,c,baja, "Todos los seres vivos están formados por células, que son la unidad estructural y funcional de la vida."
¿Cuál de estos organismos es un vertebrado?,Una medusa,Un caracol,Un león,Un pulpo,c,baja, "El león tiene columna vertebral, al igual que todos los vertebrados. Medusas, caracoles y pulpos son invertebrados."
¿Cuál es el proceso por el que las plantas producen su propio alimento?,Respiración celular,Digestión,Fotosíntesis,Fermentación,c,baja, "La fotosíntesis es el proceso mediante el cual las plantas convierten la luz solar, el dióxido de carbono y el agua en glucosa (su alimento) y oxígeno."
¿Qué gas toman las plantas del aire para hacer la fotosíntesis?,Nitrógeno,Oxígeno,Dióxido de carbono,Helio,c,baja,"Las plantas captan CO₂ del aire para transformarlo en glucosa durante la fotosíntesis."
¿Dónde ocurre la fotosíntesis en las plantas?,En la raíz,En la flor,En la hoja,En el tallo,c,baja, "Las hojas contienen cloroplastos con clorofila, donde ocurre la fotosíntesis."
¿Cómo se llaman los animales que solo comen plantas?,Carnívoros,Herbívoros,Omnívoros,Insectívoros,b,baja, "Los herbívoros son animales que se alimentan exclusivamente de materia vegetal."
¿Qué grupo de organismos puede fabricar su propio alimento?,Animales,Plantas,Hongos,Bacterias,b,baja, "Las plantas son autótrofas: producen su propio alimento mediante la fotosíntesis. Animales, hongos y muchas bacterias son heterótrofos."
¿Qué función tiene el esqueleto en los vertebrados?,Transportar oxígeno,Proteger órganos internos,Filtrar la sangre,Producir alimento,b,baja, "Además de dar forma y soporte, el esqueleto protege órganos vitales como el cerebro, el corazón y los pulmones."
¿Cómo se reproducen los mamíferos?,Poniendo huevos,Por esporas,Por reproducción asexual,Por reproducción vivípara,d,baja,"Los mamíferos se reproducen mediante reproducción vivípara: las crías se desarrollan dentro del cuerpo de la madre."
